Date,Price 
11/1/17,2579.36
10/1/17,2521.20
9/1/17,2474.42
8/1/17,2477.10
7/1/17,2431.39
6/1/17,2430.06
5/1/17,2388.33
4/1/17,2358.84
3/1/17,2366.82
2/1/17,2329.91
1/1/17,2275.12
12/1/16,2246.63
11/1/16,2164.99
10/1/16,2143.02
9/1/16,2157.69
8/1/16,2170.95
7/1/16,2148.90
6/1/16,2083.89
5/1/16,2065.55
4/1/16,2075.54
3/1/16,2021.95
2/1/16,1904.42
1/1/16,1918.60
12/1/15,2054.08
11/1/15,2080.62
10/1/15,2024.81
9/1/15,1944.41
8/1/15,2039.87
7/1/15,2094.14
6/1/15,2099.29
5/1/15,2111.94
4/1/15,2094.86
3/1/15,2079.99
2/1/15,2082.20
1/1/15,2028.18
12/1/14,2054.27
11/1/14,2044.57
10/1/14,1937.27
9/1/14,1993.23
8/1/14,1961.53
7/1/14,1973.10
6/1/14,1947.09
5/1/14,1889.77
4/1/14,1864.26
3/1/14,1863.52
2/1/14,1817.04
1/1/14,1822.36
12/1/13,1807.78
11/1/13,1783.54
10/1/13,1720.03
9/1/13,1687.17
8/1/13,1670.09
7/1/13,1668.68
6/1/13,1618.77
5/1/13,1639.84
4/1/13,1570.70
3/1/13,1550.83
2/1/13,1512.31
1/1/13,1480.40
12/1/12,1422.29
11/1/12,1394.51
10/1/12,1437.82
9/1/12,1443.42
8/1/12,1403.45
7/1/12,1359.78
6/1/12,1323.48
5/1/12,1341.27
4/1/12,1386.43
3/1/12,1389.24
2/1/12,1352.49
1/1/12,1300.58
12/1/11,1243.32
11/1/11,1226.42
10/1/11,1207.22
9/1/11,1173.88
8/1/11,1185.31
7/1/11,1325.19
6/1/11,1287.29
5/1/11,1338.31
4/1/11,1331.51
3/1/11,1304.49
2/1/11,1321.12
1/1/11,1282.62
12/1/10,1241.53
11/1/10,1198.89
10/1/10,1171.58
9/1/10,1122.08
8/1/10,1087.28
7/1/10,1079.80
6/1/10,1083.36
5/1/10,1125.06
4/1/10,1197.32
3/1/10,1152.05
2/1/10,1089.16
1/1/10,1123.58
12/1/09,1110.38
11/1/09,1088.07
10/1/09,1067.66
9/1/09,1044.55
8/1/09,1009.73
7/1/09,935.82
6/1/09,926.12
5/1/09,902.41
4/1/09,848.15
3/1/09,757.13
2/1/09,805.23
1/1/09,865.58
12/1/08,877.56
11/1/08,883.04
10/1/08,968.80
9/1/08,1216.95
8/1/08,1281.47
7/1/08,1257.33
6/1/08,1341.25
5/1/08,1403.22
4/1/08,1370.47
3/1/08,1316.94
2/1/08,1354.87
1/1/08,1378.76
12/1/07,1479.22
11/1/07,1463.39
10/1/07,1539.66
9/1/07,1497.12
8/1/07,1454.62
7/1/07,1520.71
6/1/07,1514.19
5/1/07,1511.14
4/1/07,1463.64
3/1/07,1406.95
2/1/07,1444.80
1/1/07,1424.16
12/1/06,1416.42
11/1/06,1388.64
10/1/06,1363.38
9/1/06,1317.74
8/1/06,1287.15
